gap_id,severity,section,file,line,description,fix
GAP-117,MAJOR,aria-expanded missing on accordion triggers,apps/web/src/components/home/FeatureTabs.tsx,110/149/188/227,"Accordion triggers (lines 102, 142, 181, 220) do not advertise expanded/collapsed state. SR users cannot tell which panel is open or that clicking will open it.","Add aria-expanded={activeIndex === N} to each accordion trigger button. Remove role=tab (per GAP-003) and add role=region aria-labelledby=accordion-N to each panel."
GAP-118,MAJOR,FeatureTabs fixed max-h-48,apps/web/src/components/home/FeatureTabs.tsx,116/155/194/233,"If description copy grows past ~4 lines, content is silently clipped.","Replace with dynamic height (measure via ref + useLayoutEffect, OR transition to max-h-[9999px])."
GAP-119,MAJOR,FeatureTabs external Unsplash images,apps/web/src/components/home/FeatureTabs.tsx,255/273/290/307,"Hardcoded https://images.unsplash.com/... URLs leak third-party request, may rate-limit. Three of four photo IDs unverified, may 404.","Move all 4 mockup images to /public/features/*.png and update src. Verify each URL returns 200."
GAP-120,MAJOR,FeatureTabs mockup images load on click,apps/web/src/components/home/FeatureTabs.tsx,253-318,"Tabs 1-3 conditionally rendered only on click. User clicks tab, image starts downloading at click time, flash of empty content in right column.","Add low-res preview/placeholder background-color in container, OR pre-fetch all 4 images on mount, OR use priority on active image and lazy-load others."
GAP-121,MAJOR,FeatureTabs active tab indicator subtle,apps/web/src/components/home/FeatureTabs.tsx,18-23,"Selected tab uses bg-accent/10 border-accent/30 shadow-sm; non-selected uses bg-surface border-border. Difference too subtle for at-a-glance recognition.","Add top accent bar (border-t-2 border-accent) OR left indicator dot to active state."
GAP-122,MAJOR,GlobalFooter brand inconsistent,apps/web/src/components/polish/Footer.tsx,42-49,"Footer brand mark uses HSSS with subline Sanctuary but page is H.I.P.S. Foundation homepage. Hero says H.I.P.S. Foundation. Inconsistent.","Use H.I.P.S. Foundation OR H.I.P.S. / HSSS consistently."
GAP-123,MAJOR,GlobalFooter tagline jargon-heavy,apps/web/src/components/polish/Footer.tsx,51-54,"Anonymous peer support with mathematical identity decoupling - mathematical identity decoupling not used in user-facing copy elsewhere.","Rewrite in plainer language matching Hero: Anonymous peer support with hard anonymity protocols."
GAP-124,MAJOR,No CSP report-uri / report-to,apps/web/next.config.ts,52-71,"No report-uri or report-to in CSP. CSP violations silently dropped - no telemetry on attempted XSS/inline-script abuse.","Add report-to csp-endpoint and/or report-uri /api/csp-report to directives list, and add Report-To header with group named csp-endpoint. Implement /api/csp-report to ingest reports."
GAP-125,MAJOR,CSP frame-src missing Stripe,apps/web/next.config.ts,65,"frame-src does not include https://js.stripe.com. Donate page uses <Elements> from @stripe/react-stripe-js which loads Stripe.js in iframe. CSP would block Stripe iframe.","Add https://js.stripe.com to frame-src and script-src in production directives. Verify with donate page."
GAP-126,MAJOR,Cookie hardening no __Host- prefix,apps/web/src/app/api/auth/session/route.ts + apps/web/src/app/api/auth/sudo/route.ts,46-53/156-164,"Session cookies use HttpOnly, Secure (in prod), SameSite=Lax, Path=/ but no __Host- or __Secure- prefix.","Add __Host- prefix to cookie name. Requires Path=/ (satisfied) and no Domain (satisfied) and Secure (satisfied in prod). Update middleware.ts:169 and all read sites."
GAP-127,MAJOR,Implicit static generation,apps/web/src/app/page.tsx,9,"No export const dynamic, revalidate, or generateStaticParams. Next.js will infer force-static because no data is fetched, but configuration is implicit and fragile.","Add explicit export const dynamic = 'force-static' and export const revalidate = false to lock in static generation."
GAP-128,MAJOR,CSRF on state-changing API routes,apps/web/src/app/api/auth/session/route.ts + all state-changing routes,1,"Entire POST/DELETE API surface relies solely on Firebase ID token in HttpOnly cookie. CSRF protection is implicit via SameSite=Lax. State-changing GETs would not be blocked.","Inventory all state-changing API routes. For any that use GET, add CSRF token check or change to POST. For POST routes, rely on SameSite=Lax AND consider double-submit cookie or origin verification."
GAP-129,MAJOR,middleware rate-limit scaling,apps/web/src/middleware.ts,37-38/156-164,"Rate limit applies to all /api/* (100 req / 60 s) using in-memory Map. Breaks horizontal scaling (each node has its own bucket, effective limit = 100 * N_nodes).","Migrate to Redis-backed limiter. Add fallback for when Redis is down (already present). For homepage traffic, no API routes are hit - informational only."
GAP-130,MAJOR,AnalyticsTracker global click listener,apps/web/src/app/layout.tsx + apps/web/src/components/analytics/AnalyticsTracker.tsx,96/1,"AnalyticsTracker mounted in root layout, runs on EVERY page including home. Attaches global document click listener with no gating on first interaction.","Defer AnalyticsTracker mount via requestIdleCallback, OR only attach listener after first user interaction (scroll/click)."
GAP-131,MAJOR,Navbar focus trap edge cases,apps/web/src/components/polish/Navbar.tsx,141-167,"Focus trap built on drawerRef element but does NOT update first/last focusable elements if drawer children change while open. Uses addEventListener(keydown, onTab) without capture phase.","Add { capture: true } flag and re-query focusable on each Tab key to handle dynamic content."
GAP-201,MINOR,Partner-strip aria-hidden missing,apps/web/src/app/page.tsx,78-85,"5 brand names are <span> elements with text inside. Screen readers will read HIMS Mindful Calm Headspace BetterHelp as content.","Add aria-hidden=true to wrapper <div> OR provide accessible label."
GAP-202,MINOR,Navbar text-text non-token,apps/web/src/components/polish/Navbar.tsx,103/167/174/195/212/227,"text-text is not a valid token (alias is text-text-primary).","Replace with text-text-primary and verify in both themes."
GAP-203,MINOR,tailwindcss-animate not installed,apps/web/tailwind.config.ts + apps/web/package.json,1,"If tailwindcss-animate not installed, all animate-in fade-in slide-in-from-bottom-N classes silently no-op. Root cause of GAP-004.","Verify plugin in package.json; if missing install it OR define keyframes locally."
GAP-204,MINOR,How It Works line fragile % offsets,apps/web/src/app/page.tsx,115,"left-[16.67%] right-[16.67%] for 3-column grid assumes equal columns. If grid ever becomes 2 or 4 columns, line will misalign.","Add code comment, OR use inset-x-1/6 for clarity."
GAP-205,MINOR,H1 contains br,apps/web/src/app/page.tsx,44-46,"<br /> inside H1 may cause accessibility/SEO issues in some parsers. Line break is visual not semantic.","Use <span class=block> OR wrap in <p> if line break is purely visual, OR keep <br /> (acceptable in H1)."
GAP-206,MINOR,Navbar dropdown no hover/focus bg,apps/web/src/components/polish/Navbar.tsx + apps/web/src/components/polish/navbar.css,342/451-470,"Verify .hips-dropdown-item and .hips-drawer-link styles have visible focus ring. If they only change text color, keyboard users get no feedback.","Add focus-visible:bg-accent/10 if missing."
GAP-207,MINOR,Navbar text-text/60 opacity stack,apps/web/src/components/polish/TrustStrip.tsx,195,"text-text/60 + opacity-60 = compound 36% effective opacity. Likely fails contrast in dark mode.","Lower one of the two, OR use text-text-muted/80."
GAP-208,MINOR,Footer h2 at 10px font,apps/web/src/components/polish/Footer.tsx,63,"Footer column headings (Services / Organization / Legal) are <h2> with text-[10px]. Fails AAA readability guideline (12px+ recommended).","Increase to text-xs (12px) OR text-sm (14px) and reduce tracking-brand for legibility."
GAP-209,MINOR,Skip link size borderline,apps/web/src/app/layout.tsx,87-92,"Skip link is focus:px-4 focus:py-2 which produces target well under 44x44px on first reveal.","Add focus:min-h-[44px] focus:min-w-[44px] focus:flex focus:items-center to skip link className."
GAP-210,MINOR,Theme toggle aria-label uses click,apps/web/src/components/theme/ThemeToggle.tsx,44,"aria-label is Theme: ${label} (click to switch to ${nextLabel}) - click presumes mouse.","Change to Theme: ${label} - activate to switch to ${nextLabel}."
GAP-211,MINOR,TrustStrip hardcoded hex colors,apps/web/src/components/polish/TrustStrip.tsx,9-13/90,"Avatar circles use raw hex (#213d53, #2a4a6b) and inline borderLeft style with #D6E0E8. In dark mode dark navy avatars near-invisible on bg-subtle (oklch 0.15).","Replace with bg-primary bg-accent token classes, and border-l border-border for inline style."
GAP-212,MINOR,ImpactStats SVG data URL hex,apps/web/src/components/polish/ImpactStats.tsx,101-103,"Hardcoded #213d53 fill embedded in SVG data URL. Opacity 0.015 - almost invisible.","Either parameterize the color, OR accept and document."
GAP-213,MINOR,viewport-fit=cover not declared,apps/web/src/app/layout.tsx,1,"Body uses pb-[env(safe-area-inset-bottom)] but viewport-fit=cover not explicitly set. In iOS Safari browser mode, env(safe-area-inset-bottom) may resolve to 0.","Add export const viewport: Viewport = { width: device-width, initialScale: 1, viewportFit: cover, themeColor: ... }."
GAP-214,MAJOR? -> MINOR? -> MINOR,Hero min-h-[80vh] mobile,apps/web/src/app/page.tsx,16/33,"Hero uses min-h-[80vh] and nested min-h-[70vh]. On iOS Safari 100vh includes URL bar area; 80vh on 667px iPhone gives ~534px content but visible area closer to 460px.","Replace min-h-[80vh] with min-h-[80dvh] (dynamic viewport) - well-supported in iOS Safari 15.4+, Chrome 108+."
GAP-215,MINOR,Dark-mode filter on hero image,apps/web/src/app/globals.css,468,"[data-theme=dark] img:not([data-no-dark]):not([src$=.svg]) applies filter: brightness(0.92) contrast(1.05) to ALL images including hero and unsplash photos.","Add data-no-dark to hero <Image> at page.tsx:19-27 (and probably FeatureTabs right-column images)."
GAP-216,MINOR,Navbar relative-color fallback,apps/web/src/components/polish/navbar.css,21-23,"Uses oklch(from var(--color-bg) l c h / 0.85) - relative-color syntax supported in Chrome 119+, Safari 16.4+, Firefox 128+. Older browsers fall back to opaque.","Add fallback background-color: oklch(var(--color-bg-rgb) / 0.85); behind relative color."
GAP-217,MINOR,Navbar initial onScroll() during commit,apps/web/src/components/polish/Navbar.tsx,107-114,"Scroll handler uses requestAnimationFrame to throttle setState, but initial onScroll() call invoked synchronously inside effect, can cause setState in middle of React commit phase.","Move initial onScroll() into queueMicrotask OR wrap setIsScrolled in flushSync to avoid hydration mismatch warnings."
GAP-218,MINOR,Navbar AuthProvider useMemo deps,apps/web/src/components/polish/Navbar.tsx,60,"useAuth() destructured. Navbar is React.memo'd, but useAuth() returns new object on every render of AuthProvider, breaking memoization.","Confirm AuthProvider's useMemo has right dep list, OR drop React.memo from Navbar."
GAP-219,MINOR,Navbar outside-click mousedown only,apps/web/src/components/polish/Navbar.tsx,170-189,"Outside click handler uses mousedown to close dropdown, but touch users will need click.","Add touchstart listener in addition to mousedown."
GAP-220,MINOR,PricingSwitcher no reduced-motion,apps/web/src/components/polish/PricingSwitcher.tsx,59,"If added to homepage later: slide-in animation has no prefers-reduced-motion check.","Add motion-safe: prefix or prefers-reduced-motion check before adding to home."
GAP-221,MINOR,TestimonialCarousel CustomEvent,apps/web/src/components/testimonials/TestimonialCarousel.tsx,99,"If added to homepage later: dispatches CustomEvent testimonial-scroll from scroll handler to dot indicators. String-event anti-pattern invisible to React DevTools.","Lift activeIndex state up to parent and pass as prop, OR use useState in parent."
GAP-222,MINOR,TestimonialCarousel no arrow nav,apps/web/src/components/testimonials/TestimonialCarousel.tsx,135,"If added to homepage later: tabIndex=0 on horizontally scrollable region correct for keyboard nav, but no keyboard arrow handler. Users can tab to carousel but cannot use arrow keys.","Add onKeyDown handler for ArrowLeft/ArrowRight to advance slides."
GAP-223,MINOR,hreflang not declared,apps/web/src/app/layout.tsx,1,"No alternates.languages and no i18n implemented (single <html lang=en>). Acceptable for v1.","When adding i18n, emit alternates.languages and per-page hreflang link tags."
GAP-224,MINOR,No verification tag GSC,apps/web/src/app/layout.tsx,1,"No verification field (Google Search Console, Bing, etc.). Easy win.","Add verification: { google: '...', other: { 'msvalidate.01': '...' } } after registering site."
GAP-225,MINOR,No metadataBase,apps/web/src/app/layout.tsx,1,"No metadataBase declared, so any relative OG image URL would be resolved against request URL.","Add metadataBase: new URL(process.env.NEXT_PUBLIC_SITE_URL ?? 'https://hips.foundation') to layout metadata."
GAP-226,MINOR,Cookie secure condition fine,apps/web/src/app/api/auth/session/route.ts,46-52,"secure: process.env.NODE_ENV === 'production' || req.nextUrl.protocol === 'https:' - second branch means Secure on Vercel preview URLs. Good.","OK as-is."
GAP-227,MINOR,Dangerously permissive CSP img-src,apps/web/next.config.ts,61,"img-src 'self' data: https: blob: - wildcard over https:. Any image from any HTTPS source will be allowed.","Restrict to known image hosts: https://images.unsplash.com https://hips-hsss.firebasestorage.app https://*.googleusercontent.com."
GAP-228,MINOR,CSP connect-src missing api.stripe.com,apps/web/next.config.ts,63,"connect-src does not include https://api.stripe.com. Stripe.js POSTs telemetry to api.stripe.com on init - would be CSP-blocked in production on donate page.","Add https://api.stripe.com to connect-src."
GAP-229,MINOR,No global-error.tsx,apps/web/src/app/error.tsx,1-20,"Error in root layout (e.g. font-loading crash) not caught by error.tsx. Next.js requires separate global-error.tsx at root for that.","Add apps/web/src/app/global-error.tsx with minimal HTML document reset."
GAP-230,MINOR,Open-redirect /login?from=,apps/web/src/middleware.ts,172-183,"Middleware sets ?from=<pathname+search> on redirect to /login. If login page does not validate from is same-origin path, open-redirect surface.","Audit /login and (auth)/login/page.tsx for from consumption; if used, validate with URL parsing and explicit check that from.startsWith('/') and does not start with //."
GAP-231,MINOR,Demo cookie lacks SameSite,apps/web/src/components/ui/sidebar.tsx,93,"document.cookie = ${SIDEBAR_COOKIE_NAME}=${openState}; path=/; max-age=... - non-HttpOnly non-Secure client-set cookie for sidebar state.","Add SameSite=Lax for hygiene. Not security-sensitive (UI only)."
GAP-232,MINOR,JSON-LD script escape check,apps/web/src/components/seo/*JsonLd.tsx,1,"All four use dangerouslySetInnerHTML with JSON.stringify(jsonLd). JSON.stringify is safe against </script> injection only when closing tag also escaped.","Inspect each component for </script> escaping. If not present, add .replace(/</g, '\\\\u003c') after JSON.stringify."
GAP-233,MINOR,Navbar logo 220x220 intrinsic,apps/web/src/components/polish/Navbar.tsx,277-286,"hipslogo.png loaded with priority and width/height 220x220, but actual rendered size on desktop is much smaller (logo CSS shrinks it).","Drop priority (not LCP) and provide srcSet, OR use smaller intrinsic size like 80x80 with sizes=(max-width: 768px) 40px, 80px."
GAP-234,MINOR,Motion-safe not on button transforms,apps/web/src/app/page.tsx,55/61,"Buttons use hover:scale-[1.02] and active:scale-95. For prefers-reduced-motion these should be neutralized. Button class does not include motion-safe: on these.","Wrap hover:scale with motion-safe:hover:scale-[1.02] etc."
